Radja Nainggolan,Roma,Italian Serie A,1988-05-04,176.0,77.0,Belgium,42500000.0
Javier Martínez Aginaga,FC Bayern Munich,German Bundesliga,1988-09-02,190.0,81.0,Spain,36000000.0
Dries Mertens,Napoli,Italian Serie A,1987-05-06,169.0,61.0,Belgium,43000000.0
Sokratis Papastathopoulos,Borussia Dortmund,German Bundesliga,1988-06-09,186.0,85.0,Greece,34500000.0
João Miranda de Souza Filho,Inter,Italian Serie A,1984-09-07,186.0,78.0,Brazil,25500000.0
Karim Benzema,Real Madrid CF,LaLiga,1987-12-19,187.0,79.0,France,44500000.0
Francesc Fàbregas i Soler,Chelsea,English Premier League,1987-05-04,180.0,77.0,Spain,41000000.0
Franck Ribéry,FC Bayern Munich,German Bundesliga,1983-04-07,170.0,72.0,France,22500000.0
Petr Čech,Arsenal,English Premier League,1982-05-20,196.0,90.0,Czech Republic,10500000.0
Yannick Carrasco,Atlético Madrid,LaLiga,1993-09-04,180.0,67.0,Belgium,51500000.0
Raphaël Varane,Real Madrid CF,LaLiga,1993-04-25,191.0,78.0,France,46500000.0
Álvaro Borja Morata Martín,Chelsea,English Premier League,1992-10-23,189.0,85.0,Spain,51000000.0
Carlos Henrique Venancio Casimiro,Real Madrid CF,LaLiga,1992-02-23,184.0,80.0,Brazil,42000000.0
Lorenzo Insigne,Napoli,Italian Serie A,1991-06-04,163.0,59.0,Italy,45000000.0
Jorge Resurrección,Atlético Madrid,LaLiga,1992-01-08,178.0,74.0,Spain,47500000.0
Alexandre Lacazette,Arsenal,English Premier League,1991-05-28,175.0,73.0,France,48500000.0
Keylor Navas,Real Madrid CF,LaLiga,1986-12-15,185.0,78.0,Costa Rica,24500000.0
Henrikh Mkhitaryan,Manchester United,English Premier League,1989-01-21,177.0,75.0,Armenia,39000000.0
Bernd Leno,Bayer 04 Leverkusen,German Bundesliga,1992-03-04,190.0,83.0,Germany,34000000.0
Marc-André ter Stegen,FC Barcelona,LaLiga,1992-04-30,187.0,85.0,Germany,35500000.0
Jordi Alba Ramos,FC Barcelona,LaLiga,1989-03-21,170.0,68.0,Spain,30500000.0
İlkay Gündoğan,Manchester City,English Premier League,1990-10-24,180.0,80.0,Germany,46000000.0
César Azpilicueta Tanco,Chelsea,English Premier League,1989-08-28,178.0,78.0,Spain,37500000.0
Miralem Pjanić,Juventus,Italian Serie A,1990-04-02,180.0,70.0,Bosnia Herzegovina,43500000.0
Claudio Marchisio,Juventus,Italian Serie A,1986-01-19,180.0,73.0,Italy,33000000.0
Jan Vertonghen,Tottenham Hotspur,English Premier League,1987-04-24,189.0,88.0,Belgium,28500000.0
Blaise Matuidi,Juventus,Italian Serie A,1987-04-09,175.0,70.0,France,28500000.0
Filipe Luís Kasmirski,Atlético Madrid,LaLiga,1985-08-09,182.0,73.0,Brazil,25000000.0
Vincent Kompany,Manchester City,English Premier League,1986-04-10,193.0,85.0,Belgium,26000000.0
Andrea Barzagli,Juventus,Italian Serie A,1981-05-08,187.0,87.0,Italy,5000000.0
Eric Bailly,Manchester United,English Premier League,1994-04-12,187.0,77.0,Ivory Coast,35500000.0
Marco Asensio Willemsen,Real Madrid CF,LaLiga,1996-01-21,180.0,75.0,Spain,46000000.0
Bernardo Mota Carvalho e Silva,Manchester City,English Premier League,1994-08-10,173.0,64.0,Portugal,43500000.0
Aymeric Laporte,Athletic Club de Bilbao,LaLiga,1994-05-27,189.0,85.0,France,35500000.0
Dele Alli,Tottenham Hotspur,English Premier League,1996-04-11,188.0,80.0,England,43000000.0
Sadio Mané,Liverpool,English Premier League,1992-04-10,175.0,69.0,Senegal,39000000.0
Daniel Carvajal Ramos,Real Madrid CF,LaLiga,1992-01-11,173.0,73.0,Spain,32000000.0
Mauro Icardi,Inter,Italian Serie A,1993-02-19,181.0,75.0,Argentina,42000000.0
Kalidou Koulibaly,Napoli,Italian Serie A,1991-06-20,195.0,89.0,Senegal,32500000.0
Timo Horn,1. FC Köln,German Bundesliga,1993-05-12,192.0,90.0,Germany,31000000.0
Kostas Manolas,Roma,Italian Serie A,1991-06-14,189.0,83.0,Greece,31500000.0
Shkodran Mustafi,Arsenal,English Premier League,1992-04-17,184.0,82.0,Germany,31500000.0
Ander Herrera Agüera,Manchester United,English Premier League,1989-08-14,182.0,70.0,Spain,32000000.0
Nemanja Matić,Manchester United,English Premier League,1988-08-01,194.0,85.0,Serbia,25000000.0
Kevin Strootman,Roma,Italian Serie A,1990-02-13,186.0,78.0,Netherlands,35000000.0
Pedro Rodríguez Ledesma,Chelsea,English Premier League,1987-07-28,169.0,65.0,Spain,30500000.0
Roman Bürki,Borussia Dortmund,German Bundesliga,1990-11-14,187.0,85.0,Switzerland,26000000.0
Bruno Soriano Llido,Villarreal CF,LaLiga,1984-06-12,184.0,73.0,Spain,18500000.0
Ivan Perišić,Inter,Italian Serie A,1989-02-02,187.0,80.0,Croatia,31500000.0
Edin Džeko,Roma,Italian Serie A,1986-03-17,193.0,84.0,Bosnia Herzegovina,28000000.0
Willian Borges da Silva,Chelsea,English Premier League,1988-08-09,175.0,77.0,Brazil,31500000.0
Sami Khedira,Juventus,Italian Serie A,1987-04-04,189.0,89.0,Germany,29000000.0
Ralf Fährmann,FC Schalke 04,German Bundesliga,1988-09-27,196.0,95.0,Germany,25000000.0
Sergio Asenjo Andrés,Villarreal CF,LaLiga,1989-06-28,189.0,87.0,Spain,25000000.0
Juan Manuel Mata García,Manchester United,English Premier League,1988-04-28,170.0,63.0,Spain,30500000.0
Medhi Benatia,Juventus,Italian Serie A,1987-04-17,190.0,92.0,Morocco,23000000.0
Laurent Koscielny,Arsenal,English Premier League,1985-09-10,186.0,75.0,France,21000000.0
Gary Cahill,Chelsea,English Premier League,1985-12-19,193.0,86.0,England,21000000.0
Alejandro Gómez,Atalanta,Italian Serie A,1988-02-15,165.0,68.0,Argentina,31000000.0
Aritz Aduriz Zubeldia,Athletic Club de Bilbao,LaLiga,1981-02-11,182.0,78.0,Spain,11000000.0
Ousmane Dembélé,FC Barcelona,LaLiga,1997-05-15,178.0,67.0,France,40000000.0
Naby Keïta,RB Leipzig,German Bundesliga,1995-02-10,172.0,64.0,Guinea,34000000.0
José María Giménez,Atlético Madrid,LaLiga,1995-01-20,185.0,76.0,Uruguay,28500000.0
Gerónimo Rulli,Real Sociedad,LaLiga,1992-05-20,189.0,84.0,Argentina,25500000.0
João Mário Naval Costa Eduardo,Inter,Italian Serie A,1993-01-19,179.0,73.0,Portugal,34000000.0
Niklas Süle,FC Bayern Munich,German Bundesliga,1995-09-03,195.0,97.0,Germany,30500000.0
Ederson Santana de Moraes,Manchester City,English Premier League,1993-08-17,188.0,86.0,Brazil,26000000.0
Leon Goretzka,FC Schalke 04,German Bundesliga,1995-02-06,189.0,79.0,Germany,34000000.0
Mohamed Salah,Liverpool,English Premier League,1992-06-15,175.0,71.0,Egypt,32500000.0
Andrea Belotti,Torino,Italian Serie A,1993-12-20,181.0,72.0,Italy,37000000.0
Emil Forsberg,RB Leipzig,German Bundesliga,1991-10-23,179.0,78.0,Sweden,31500000.0
William Silva de Carvalho,Sporting CP,Portuguese Primeira Liga,1992-04-07,187.0,83.0,Portugal,27500000.0
Samuel Umtiti,FC Barcelona,LaLiga,1993-11-14,182.0,75.0,France,29500000.0
Riyad Mahrez,Leicester City,English Premier League,1991-02-21,179.0,67.0,Algeria,30500000.0
Virgil van Dijk,Southampton,English Premier League,1991-07-08,193.0,92.0,Netherlands,27500000.0
Roberto Firmino Barbosa de Oliveira,Liverpool,English Premier League,1991-10-02,181.0,76.0,Brazil,33000000.0
Danilo Luís Hélio Pereira,FC Porto,Portuguese Primeira Liga,1991-09-09,188.0,83.0,Portugal,27500000.0
Víctor Machín Pérez,UD Las Palmas,LaLiga,1989-11-02,184.0,80.0,Spain,27000000.0
Stefan de Vrij,Lazio,Italian Serie A,1992-02-05,189.0,78.0,Netherlands,29000000.0
Mattia Perin,Genoa,Italian Serie A,1992-11-10,188.0,77.0,Italy,25000000.0
Joel Matip,Liverpool,English Premier League,1991-08-08,195.0,90.0,Cameroon,26500000.0
Idrissa Gueye,Everton,English Premier League,1989-09-26,174.0,66.0,Senegal,24500000.0
Iago Aspas Juncal,RC Celta de Vigo,LaLiga,1987-08-01,176.0,67.0,Spain,26000000.0
Ciro Immobile,Lazio,Italian Serie A,1990-02-20,185.0,85.0,Italy,30500000.0
Nicolás Otamendi,Manchester City,English Premier League,1988-02-12,183.0,81.0,Argentina,20000000.0
Daniel Parejo Muñoz,Valencia CF,LaLiga,1989-04-16,182.0,74.0,Spain,25500000.0
Shinji Kagawa,Borussia Dortmund,German Bundesliga,1989-03-17,175.0,68.0,Japan,26000000.0
Giacomo Bonaventura,Milan,Italian Serie A,1989-08-22,181.0,75.0,Italy,26500000.0
Bas Dost,Sporting CP,Portuguese Primeira Liga,1989-05-31,196.0,89.0,Netherlands,27000000.0
Kyle Walker,Manchester City,English Premier League,1990-05-28,183.0,83.0,England,24000000.0
Steven N'Zonzi,Sevilla FC,LaLiga,1988-12-15,190.0,75.0,France,21000000.0
Mateo Musacchio,Milan,Italian Serie A,1990-08-26,180.0,73.0,Argentina,27000000.0
Ömer Toprak,Borussia Dortmund,German Bundesliga,1989-07-21,186.0,83.0,Turkey,24500000.0
José María Callejón Bueno,Napoli,Italian Serie A,1987-02-11,178.0,73.0,Spain,24500000.0
Nicolás Gaitán,Atlético Madrid,LaLiga,1988-02-23,173.0,68.0,Argentina,25500000.0
Mario Mandžukić,Juventus,Italian Serie A,1986-05-21,190.0,86.0,Croatia,23500000.0
Adam Lallana,Liverpool,English Premier League,1988-05-10,172.0,73.0,England,25000000.0
Benedikt Höwedes,Juventus,Italian Serie A,1988-02-29,187.0,82.0,Germany,20000000.0
Éver Banega,Sevilla FC,LaLiga,1988-06-29,174.0,71.0,Argentina,25500000.0
Rui Pedro dos Santos Patrício,Sporting CP,Portuguese Primeira Liga,1988-02-15,190.0,84.0,Portugal,17500000.0
Yann Sommer,Borussia Mönchengladbach,German Bundesliga,1988-12-17,183.0,79.0,Switzerland,21000000.0
Morgan Schneiderlin,Everton,English Premier League,1989-11-08,185.0,75.0,France,24500000.0
Jonas Gonçalves Oliveira,SL Benfica,Portuguese Primeira Liga,1984-04-01,182.0,74.0,Brazil,16500000.0
Łukasz Piszczek,Borussia Dortmund,German Bundesliga,1985-06-03,184.0,79.0,Poland,14500000.0
Ezequiel Garay,Valencia CF,LaLiga,1986-10-10,189.0,90.0,Argentina,19000000.0
Antonio Valencia,Manchester United,English Premier League,1985-08-04,180.0,83.0,Ecuador,17000000.0
Kasper Schmeichel,Leicester City,English Premier League,1986-11-05,189.0,89.0,Denmark,19000000.0
Moussa Dembélé,Tottenham Hotspur,English Premier League,1987-07-16,185.0,88.0,Belgium,25000000.0
Borja Valero Iglesias,Inter,Italian Serie A,1985-01-12,175.0,73.0,Spain,20000000.0
Lucas Biglia,Milan,Italian Serie A,1986-01-30,178.0,63.0,Argentina,17500000.0
Diego López Rodríguez,RCD Espanyol,LaLiga,1981-11-03,196.0,89.0,Spain,6000000.0
Santiago Cazorla González,Arsenal,English Premier League,1984-12-13,168.0,66.0,Spain,19500000.0
Javier Mascherano,FC Barcelona,LaLiga,1984-06-08,174.0,73.0,Argentina,10500000.0
Luís Carlos Almeida da Cunha,Lazio,Italian Serie A,1986-11-17,177.0,68.0,Portugal,24500000.0
Daniele De Rossi,Roma,Italian Serie A,1983-07-24,184.0,83.0,Italy,10500000.0
José Manuel Reina Páez,Napoli,Italian Serie A,1982-08-31,188.0,92.0,Spain,10500000.0
Yaya Touré,Manchester City,English Premier League,1983-05-13,189.0,90.0,Ivory Coast,12500000.0
Iker Casillas Fernández,FC Porto,Portuguese Primeira Liga,1981-05-20,185.0,84.0,Spain,3500000.0
Gianluigi Donnarumma,Milan,Italian Serie A,1999-02-25,196.0,90.0,Italy,28500000.0
Leroy Sané,Manchester City,English Premier League,1996-01-11,183.0,75.0,Germany,34500000.0
Tiémoué Bakayoko,Chelsea,English Premier League,1994-08-17,189.0,85.0,France,26000000.0
Corentin Tolisso,FC Bayern Munich,German Bundesliga,1994-08-03,181.0,78.0,France,30500000.0
Jonathan Tah,Bayer 04 Leverkusen,German Bundesliga,1996-02-11,192.0,92.0,Germany,26000000.0
Federico Bernardeschi,Juventus,Italian Serie A,1994-02-16,183.0,75.0,Italy,30500000.0
Timo Werner,RB Leipzig,German Bundesliga,1996-03-06,180.0,75.0,Germany,30500000.0
André Filipe Tavares Gomes,FC Barcelona,LaLiga,1993-07-30,188.0,84.0,Portugal,30000000.0
Anthony Martial,Manchester United,English Premier League,1995-12-05,181.0,76.0,France,33000000.0
Lucas Vázquez Iglesias,Real Madrid CF,LaLiga,1991-07-01,173.0,70.0,Spain,26000000.0
Saúl Ñíguez Esclápez,Atlético Madrid,LaLiga,1994-11-21,181.0,70.0,Spain,32000000.0
Felipe Augusto de Almeida Monteiro,FC Porto,Portuguese Primeira Liga,1989-05-16,185.0,77.0,Brazil,18000000.0
