'André Almeida Pinto','Sporting CP','Primeira Liga','1989-10-05',194.0,86.0,'Portugal',8500000.0, '2018-01-01', '2020-01-01'
'Andrija Živković','Benfica','Primeira Liga','1996-07-11',169.0,70.0,'Serbia',14000000.0, '2018-01-01', '2020-01-01'
'Bruno Miguel Semedo Varela','Benfica','Primeira Liga','1994-11-04',191.0,87.0,'Portugal',9000000.0, '2018-01-01', '2020-01-01'
'Pedro Henrique Pereira da Silva','Vitoria de Guimaraes','Primeira Liga','1992-12-18',190.0,88.0,'Brazil',10000000.0, '2018-01-01', '2020-01-01'
'Fábio Alexandre Silva Coentrão','Sporting CP','Primeira Liga','1988-03-11',179.0,66.0,'Portugal',6500000.0, '2018-01-01', '2020-01-01'
'Ricardo José Araújo Ferreira','Braga','Primeira Liga','1992-11-25',190.0,76.0,'Portugal',10000000.0, '2018-01-01', '2020-01-01'
'Bruno César Zanaki','Sporting CP','Primeira Liga','1988-11-03',177.0,75.0,'Brazil',9000000.0, '2018-01-01', '2020-01-01'
'Raphael Dias Belloli','Vitoria de Guimaraes','Primeira Liga','1996-12-14',176.0,68.0,'Brazil',13000000.0, '2018-01-01', '2020-01-01'
'Moussa Marega','Porto','Primeira Liga','1991-04-14',186.0,83.0,'Mali',9500000.0, '2018-01-01', '2020-01-01'
'Otávio Edmilson da Silva Monteiro','Porto','Primeira Liga','1995-02-09',172.0,71.0,'Brazil',12000000.0, '2018-01-01', '2020-01-01'
'Ricardo Jorge da Luz Horta','Braga','Primeira Liga','1994-09-15',173.0,63.0,'Portugal',11000000.0, '2018-01-01', '2020-01-01'
'João Maria Palhinha Gonçalves','Sporting CP','Primeira Liga','1995-07-09',190.0,82.0,'Portugal',10000000.0, '2018-01-01', '2020-01-01'
'Renan Bardini Bressan','Desportivo das Chaves','Primeira Liga','1988-11-03',182.0,75.0,'Belarus',7500000.0, '2018-01-01', '2020-01-01'
'Wilson Bruno Naval Costa Eduardo','Braga','Primeira Liga','1990-07-08',179.0,73.0,'Portugal',8500000.0, '2018-01-01', '2020-01-01'
'Filip Krovinović','Benfica','Primeira Liga','1995-08-29',175.0,70.0,'Croatia',10500000.0, '2018-01-01', '2020-01-01'
'Gabriel Barbosa Almeida','Benfica','Primeira Liga','1996-08-30',178.0,68.0,'Brazil',12000000.0, '2018-01-01', '2020-01-01'
'Dyego Wilverson Ferreira Sousa','Braga','Primeira Liga','1989-09-14',190.0,83.0,'Brazil',8000000.0, '2018-01-01', '2020-01-01'
'Fábio Santos Martins','Braga','Primeira Liga','1993-07-24',178.0,70.0,'Portugal',10500000.0, '2018-01-01', '2020-01-01'
'Douglas Renato de Jesus','Vitoria de Guimaraes','Primeira Liga','1983-03-09',188.0,87.0,'Brazil',3100000.0, '2018-01-01', '2020-01-01'
'Paolo Hurtado','Vitoria de Guimaraes','Primeira Liga','1990-07-27',176.0,72.0,'Peru',9000000.0, '2018-01-01', '2020-01-01'
'Daniel Castelo Podence','Sporting CP','Primeira Liga','1995-10-21',165.0,58.0,'Portugal',11500000.0, '2018-01-01', '2020-01-01'
'Erdem Şen','Maritimo','Primeira Liga','1989-01-05',180.0,75.0,'Belgium',6000000.0, '2018-01-01', '2020-01-01'
'Ricardo José Monteiro','Rio Ave','Primeira Liga','1983-10-07',188.0,78.0,'Portugal',4500000.0, '2018-01-01', '2020-01-01'
'Cristiano Piccini','Sporting CP','Primeira Liga','1992-09-26',189.0,79.0,'Italy',8500000.0, '2018-01-01', '2020-01-01'
'José Pedro Malheiro de Sá','Porto','Primeira Liga','1993-01-17',192.0,85.0,'Portugal',7500000.0, '2018-01-01', '2020-01-01'
'André Gomes Magalhães Almeida','Benfica','Primeira Liga','1990-09-10',186.0,80.0,'Portugal',7500000.0, '2018-01-01', '2020-01-01'
'Víctor García','Vitoria de Guimaraes','Primeira Liga','1994-06-11',178.0,71.0,'Venezuela',9000000.0, '2018-01-01', '2020-01-01'
'Fransérgio Rodrigues Barbosa','Braga','Primeira Liga','1990-10-18',187.0,82.0,'Brazil',8000000.0, '2018-01-01', '2020-01-01'
'Jonathan Silva','Sporting CP','Primeira Liga','1994-06-29',180.0,75.0,'Argentina',7500000.0, '2018-01-01', '2020-01-01'
'Héldon Augusto Almeida Ramos','Vitoria de Guimaraes','Primeira Liga','1988-11-14',174.0,66.0,'Cape Verde',6500000.0, '2018-01-01', '2020-01-01'
'Francisco Geraldes','Rio Ave','Primeira Liga','1995-04-18',175.0,67.0,'Portugal',10500000.0, '2018-01-01', '2020-01-01'
'André Filipe Luz Horta','Braga','Primeira Liga','1996-11-07',175.0,70.0,'Portugal',10000000.0, '2018-01-01', '2020-01-01'
'Alhassan Wakaso','Vitoria de Guimaraes','Primeira Liga','1992-01-07',180.0,76.0,'Ghana',7500000.0, '2018-01-01', '2020-01-01'
'Paulo Sérgio Mota','Desportivo das Chaves','Primeira Liga','1991-07-13',175.0,70.0,'Portugal',6500000.0, '2018-01-01', '2020-01-01'
'Ahmed Hassan','Braga','Primeira Liga','1993-03-05',191.0,85.0,'Egypt',9000000.0, '2018-01-01', '2020-01-01'
'Nikola Vukčević','Braga','Primeira Liga','1991-12-13',184.0,76.0,'Montenegro',7000000.0, '2018-01-01', '2020-01-01'
'Bruno Daniel Castro Moreira','Nacional','Primeira Liga','1987-09-06',185.0,79.0,'Portugal',6500000.0, '2018-01-01', '2020-01-01'
'Ghislain Konan','Vitoria de Guimaraes','Primeira Liga','1995-12-27',176.0,71.0,'Ivory Coast',8000000.0, '2018-01-01', '2020-01-01'
'Haris Seferović','Benfica','Primeira Liga','1992-02-22',185.0,85.0,'Switzerland',8500000.0, '2018-01-01', '2020-01-01'
'Cássio Albuquerque Anjos','Rio Ave','Primeira Liga','1980-08-12',186.0,79.0,'Brazil',900000.0, '2018-01-01', '2020-01-01'
'Nuno Miguel Sousa Pinto','Vitoria de Setubal','Primeira Liga','1986-08-06',173.0,65.0,'Portugal',4800000.0, '2018-01-01', '2020-01-01'
'Jefferson Nascimento','Braga','Primeira Liga','1988-07-05',176.0,72.0,'Brazil',5500000.0, '2018-01-01', '2020-01-01'
